name, sales ,date
Sebastian Waite," 607,193 ",1/1/2020
Lizzie Haggins," 1,171,366 ",1/1/2020
Ima Gaudreau," 941,504 ",1/1/2020
Leticia Michelsen," 721,826 ",1/1/2020
Stanley Margolin," 904,494 ",1/1/2020
Carmine Hamburg," 1,053,878 ",1/1/2020
Yukiko Post," 859,973 ",1/1/2020
Yuri Beltran," 845,274 ",1/1/2020
Geri Guan," 1,062,639 ",1/1/2020
Belen Ruggiero," 31,768 ",1/1/2020
Neda Parise," 708,719 ",1/1/2020
Wendell Ginsburg," 547,279 ",1/1/2020
Buford Truss," 1,492,244 ",1/1/2020
Taina Keifer," 781,441 ",1/1/2020
Emelia Anders," 915,154 ",1/1/2020
Sha Middlebrooks," 1,187,419 ",1/1/2020
Mariette Huson," 169,286 ",1/1/2020
Cyrstal Dempsey," 489,065 ",1/1/2020
Donnie Mccrystal," 1,434,297 ",1/1/2020
Evelyn Bonneau," 330,743 ",1/1/2020
Kenia Lozoya," 941,049 ",1/1/2020
Anderson Ojeda," 336,979 ",1/1/2020
Alejandrina Mandelbaum," 218,164 ",1/1/2020
Sarai Yoo," 1,454,491 ",1/1/2020
Izola Adams," 353,845 ",1/1/2020
Wynona Palmieri," 635,893 ",1/1/2020
Rodger Steere," 1,077,798 ",1/1/2020
Virgie Gibb," 1,117,151 ",1/1/2020
Sachiko Sommerville," 391,464 ",1/1/2020
Elbert Setliff," 799,695 ",2/1/2020
Bonita Gunnerson," 998,153 ",2/1/2020
Chet Pitts," 653,398 ",2/1/2020
Williams Leno," 13,344 ",2/1/2020
Hildegarde Rench," 266,366 ",2/1/2020
Elliot Mccaffery," 1,265,449 ",2/1/2020
Jane Carlton," 2,347 ",2/1/2020
Margene Walden," 129,835 ",2/1/2020
Deonna Byham," 427,132 ",2/1/2020
Wilber Simmer," 710,299 ",2/1/2020
Allene Hone," 1,219,397 ",2/1/2020
Tanja Inks," 811,100 ",2/1/2020
Ryann Muise," 380,396 ",2/1/2020
Antony Fett," 539,406 ",2/1/2020
Ahmad Karlin," 994,887 ",2/1/2020
Adrianna Sweetland," 1,188,147 ",2/1/2020
Dewitt Kennerson," 715,050 ",2/1/2020
Kallie Penrod," 218,912 ",2/1/2020
Melaine Steverson," 270,650 ",2/1/2020
Ervin Scalia," 87,484 ",2/1/2020
Nanci Walburn," 106,806 ",2/1/2020
Amy Shockley," 965,907 ",2/1/2020
Kendal Westerfield," 220,461 ",2/1/2020
Hilaria Ashmore," 451,352 ",2/1/2020
Rossana Hellums," 1,401,016 ",2/1/2020
Chastity Immel," 415,097 ",2/1/2020
Nelly Mclain," 243,932 ",2/1/2020
